Mnemonic,Long Label
M2%@APXC.Q.FGI,"Asia-Pacific Excluding China, Growth Rate, Money Supply M2, Period End, Year-on-Year Percent Change, lcu, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 15 out of 39"
GDP$@G8.Q.FGBA1,"G-8, Nominal GDP (Gross Domestic Product), US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 8"
GDDR%@EMUXG.Q.FGI,"Eurozone Excluding Greece, Real Gross Domestic Demand, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 18"
POILR@ADV.Q.FGBA1,"Advanced economies, Real Price of Crude Oil, LCU basis, Unit - Index, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
GDP$@EUN.Q.FGI,"EU: European Union, Nominal GDP (Gross Domestic Product), US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 28 out of 28"
IRXG%GDP@EUN.Q.FGI,"EU: European Union, International Reserves Excluding Gold, % of GDP, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 17 September 2019 Countries in aggregate: 28 out of 28"
AGSAVE@MIE.Q.FGI,"Middle East, Fiscal Balance: Overall (Government Savings), in euro, unspecified government, Billions - Euro, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 14"
M3@ASEAN.Q.FGI,"Association of South-East Asian Nations, Money Supply M3, Period End, lcu, Billions - Index, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 10"
IFRE@ADVXU.Q.FGI,"Advanced Economies Excluding USA (ADVXU), Real Fixed Investment, euro, Billions - Euro - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 30 out of 31"
CRE@EMEA.Q.FGI,"EMEA (Europe, Middle East and Africa), Real Private Consumption, euro, Billions - Euro - 2015, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 61 out of 120"
PSHAGSAV@DVG.Q.FGI,"Developing Countries, Fiscal Balance: Overall, % of GDP, unspecified government, Unit - Percentage, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 2 out of 119"
GDPR%Q@LA.Q.FGI,"Latin America, Real GDP, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 19"
XNET$@NOA.Q.FGI,"North Africa, Nominal NIA Net Exports, US$, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 7"
PM%Q@AS.Q.FGI,"Asia, NIA Imports Deflator, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 16 out of 27"
PSHBPCA@EMU11.Q.FGBA1,"Eurozone, 1999-2000, Current Account Balance as a % of GDP, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 11"
PM$%@AS.Q.FGBA1,"Asia, NIA Imports of Goods & Non-Factor Service Deflator, U.S. Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 27"
BPMG$@AMERS.Q.FGI,"Americas, BOP Goods Imports, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 44"
MBROAD$%@NOA.Q.FGI,"North Africa, Growth Rate, Broad Money Supply, Period End, Year-on-Year Percent Change, US$, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 7"
PSHAGSAV@MENHR.Q.FGI,"Middle East and North Africa: High Risk, Fiscal Balance: Overall, % of GDP, unspecified government, Unit - Percentage, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 2 out of 7"
BPXG%WOR@GCC5.Q.FGI,"Gulf Cooperation Council Countries Excluding Saudi Arabia, BOP Goods Exports, Percent of World Exports, Unit - Percentage, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 64 out of 204"
PM$@XOECD.Q.FGI,"Non-OECD Countries, Deflator: NIA Imports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 70 out of 172"
IF$%@EMUXG.Q.FGBA1,"Eurozone Excluding Greece, Nominal Fixed Investment in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 18"
WPI$@AMERS.Q.FGI,"Americas, Wholesale-Producer Price Index, US$ basis, Unit - Index - 2015, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 44"
XE%@XOECD.Q.FGI,"Non-OECD Countries, Nominal NIA Exports in Euros, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 70 out of 172"
BPXG%WOR@GCHN.Q.FGI,"Greater China, BOP Goods Exports, Percent of World Exports, Unit - Percentage, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 64 out of 204"
M3$@MEN.Q.FGI,"Middle East and North Africa, Money Supply M3, Period End, US$, Billions - U.S. Dollar, Data edge: 2017Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 21"
PGDPE@AP.Q.FGBA1,"Asia-Pacific, Deflator: Gross Domestic Product, euro, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
PSHBPGBAL@APXJ.Q.FGI,"Asia-Pacific Excluding Japan, BOP Goods Balance, % of GDP, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 11 out of 39"
MR@BRIC.Q.FGI,"BRIC (Brazil, Russia, India & China), Real NIA Imports of Goods & Non-Factor Services, lcu, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 4"
GDPR$NP@APXC.Q.FGBA1,"Asia-Pacific Excluding China, Real GDP Per Capita, US$, Unit - U.S. Dollar - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 39"
IP%Q@EMUXG.Q.FGI,"Eurozone Excluding Greece, Growth Rate, Industrial Production, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 18"
IFR@EURC.Q.FGI,"Europe + CIS (Commonwealth of Independent States), Real Fixed Investment, lcu, Unit - Index - 2015, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 37 out of 52"
GDPFR$@EMU.Q.FGBA1,"Eurozone, Real GDP at Factor Cost, US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 19"
PGDP$%Q@LCM.Q.FGI,"Latin America and Caribbean plus Mexico, Gross Domestic Product Deflator, U.S. Dollar Basis, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 42"
CPI$@WORHI.Q.FGBA1,"World High-Income (percapita income > $5000), Consumer Price Index, Dollar Basis, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 65"
PSHGBAL@APXC.Q.FGBA1,"Asia-Pacific Excluding China, Fiscal Balance: Current, % of GDP, general government, Unit - Percentage, Data edge: 2018Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 39"
PX$@WORXC.Q.FGBA1,"World Excluding China, Deflator: NIA Exports of Goods & Non-Factor Services, US$, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 203"
XNETE@NAF.Q.FGBA1,"NAFTA, Nominal NIA Net Exports, euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 3"
CR%@WOR.Q.FGI,"World, Real Private Consumption, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 91 out of 204"
CR@MIE.Q.FGI,"Middle East, Real Private Consumption, lcu, Unit - Index - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 14"
PM$%@ADV.Q.FGBA1,"Advanced economies, NIA Imports of Goods & Non-Factor Service Deflator, U.S. Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
GDPPR$@EURC.Q.FGBA1,"Europe + CIS (Commonwealth of Independent States), Real Gross Domestic Product, PPP$, Billions - U.S. Dollar - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 52"
GDPPR$@WOROM.Q.FGBA1,"World Oil Importers, Real Gross Domestic Product, PPP$, Billions - U.S. Dollar - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 165"
RX@NAFXM.Q.FGI,"NAFTA Excluding Mexico, Exchange Rate Index, Period Average (LCU per US$), Unit - Index, Data edge: 2019Q3, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 2 out of 2"
PSHAGSAV@WORHI.Q.FGBA1,"World High-Income (percapita income > $5000), Fiscal Balance: Overall, % of GDP, unspecified government, Unit - Percentage, Data edge: 2018Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 65"
GSAVE@EUR.Q.FGBA1,"Europe, Fiscal Balance: Overall (Government Savings), in euro, general government, Billions - Euro, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 41"
IFR$@OECD.Q.FGI,"OECD: Organization for Economic Cooperation and Development, Real Fixed Investment, US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 32 out of 32"
GDP$@EUN.Q.FGBA1,"EU: European Union, Nominal GDP (Gross Domestic Product), US$, Billions - U.S. Dollar, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 28"
PSHAGSAV@WOR.Q.FGBA1,"World, Fiscal Balance: Overall, % of GDP, unspecified government, Unit - Percentage, Data edge: 2018Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 204"
M1%@XOECD.Q.FGI,"Non-OECD Countries, Growth Rate, Money Supply M1, Period End, Year-on-Year Percent Change, lcu, Unit - Percent change year ago, Data edge: 2016Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 68 out of 172"
PXE@NAFXM.Q.FGBA1,"NAFTA Excluding Mexico, Deflator: NIA Exports of Goods & Non-Factor Services, euro, Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 2 out of 2"
PSHBPCA@APXGC.Q.FGI,"Asia-Pacific Excluding Greater China, Current Account Balance as a % of GDP, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 6 out of 36"
PGDP@G8.Q.FGBA1,"G-8, Deflator: Gross Domestic Product, lcu, Unit - Index, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 8"
GDPR$%@MENOM.Q.FGI,"Middle East and North Africa: Oil Importers, Real $ GDP, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 6"
BPMG$%Q@LCM.Q.FGI,"Latin America and Caribbean plus Mexico, BOP Goods Imports, US$, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 42"
PX@WORXC.Q.FGI,"World Excluding China, Deflator: NIA Exports of Goods & Non-Factor Services, lcu, Unit - Index, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 101 out of 203"
IFE@AF.Q.FGI,"Africa, Nominal Fixed Investment, euro, Billions - Euro, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 54"
PSHI@AS.Q.FGBA1,"Asia, Nominal share of GDP: Gross Domestic Investment, Unit - Percentage, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 27"
IFE@EUR.Q.FGBA1,"Europe, Nominal Fixed Investment, euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 41"
GDPSVR$@EMU11.Q.FGBA1,"Eurozone, 1999-2000, Real GDP at Factor Cost: Services, US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 11"
JU%@WORHI.Q.FGBA1,"World High-Income (percapita income > $5000), Unemployment Chain-Weighted Index, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 65"
GDP@EUN.Q.FGI,"EU: European Union, Nominal GDP (Gross Domestic Product), lcu, Unit - Index, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 28 out of 28"
RMSHORT@MENXI.Q.FGI,"Middle East and North Africa Excluding Israel, Interest Rate: Short Term, Unit - Percentage, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 13 out of 20"
IF$%@LAM.Q.FGI,"Latin America plus Mexico, Nominal Fixed Investment in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 11 out of 20"
PX%@G8.Q.FGBA1,"G-8, NIA Exports Deflator, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 8"
RMMM@AS.Q.FGBA1,"Asia, Interest Rate: Money Market, Unit - Percentage, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 27"
M$%@EUR.Q.FGI,"Europe, Nominal NIA Imports in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 33 out of 41"
BPCAE@EMEA.Q.FGBA1,"EMEA (Europe, Middle East and Africa), BOP Current Account Balance, euro, Billions - Euro, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 120"
IFR$%@GCC.Q.FGI,"Gulf Cooperation Council Countries, Real $ Fixed Investment, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 5 out of 6"
M$%@EMUXG.Q.FGBA1,"Eurozone Excluding Greece, Nominal NIA Imports in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 18"
IFR@WOR.Q.FGBA1,"World, Real Fixed Investment, lcu, Unit - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 204"
ME@GULF.Q.FGI,"Persian Gulf Countries, Nominal NIA Imports of Goods & Non-Factor Services, euro, Billions - Euro, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 8 out of 8"
X$@WORXC.Q.FGI,"World Excluding China, Nominal NIA Exports of Goods & Non-Factor Services, US$, Billions - U.S. Dollar, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 101 out of 203"
PSHURB@EUNXG.Q.FGBA1,"EU: European Union excluding U.K., Share of Population: Urban, Unit - Percentage, Data edge: 2018Q4, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 27"
BPMG$@DVG.Q.FGI,"Developing Countries, BOP Goods Imports, US$, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 119"
CPI$%Q@EMG.Q.FGI,"Emerging Markets, Consumer Price Index, Dollar Basis, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 49 out of 53"
IFR$@DVG.Q.FGI,"Developing Countries, Real Fixed Investment, US$, Billions - U.S. Dollar - 2015, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 119"
X$%Q@MENMR.Q.FGI,"Middle East and North Africa: Medium Risk, Nominal NIA Exports in U.S. Dollars, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 4"
IIR$@MENOM.Q.FGI,"Middle East and North Africa: Oil Importers, Real Change in Inventory, US$, Billions - U.S. Dollar - 2015, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 6"
GDPY@WOROX.Q.FGBA1,"World Oil Exporters, Nominal Gross Domestic Product, yen, Trillions - Japanese Yen, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 38"
GDPAGR$@EMUXG.Q.FGBA1,"Eurozone Excluding Greece, Real GDP at Factor Cost: Agriculture, US$, Billions - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 3 out of 18"
GDDRE@AP.Q.FGBA1,"Asia-Pacific, Real Gross Domestic Demand (Absorption), euro, Billions - Euro - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
WPI%@AP.Q.FGI,"Asia-Pacific, Wholesale-Producer Price Index, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 16 out of 40"
IFR$%@CIS.Q.FGI,"CIS: Commonwealth of Independent States, Real $ Fixed Investment, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 11"
IIR$@AF.Q.FGI,"Africa, Real Change in Inventory, US$, Billions - U.S. Dollar - 2015, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 17 out of 54"
IP@EUN.Q.FGI,"EU: European Union, Industrial Production Index, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 28 out of 28"
ME%Q@MENOM.Q.FGI,"Middle East and North Africa: Oil Importers, Nominal NIA Imports in Euros, Growth Rate, Quarter-on-Quarter, SAAR, Unit - Percent change on previous period, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 6"
X$%@OECD.Q.FGI,"OECD: Organization for Economic Cooperation and Development, Nominal NIA Exports in U.S. Dollars, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 32 out of 32"
MR@WORHI.Q.FGBA1,"World High-Income (percapita income > $5000), Real NIA Imports of Goods & Non-Factor Services, lcu, Unit - U.S. Dollar - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 65"
AGSAVE@MENHR.Q.FGI,"Middle East and North Africa: High Risk, Fiscal Balance: Overall (Government Savings), in euro, unspecified government, Billions - Euro, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 2 out of 7"
GDPR$%@EMEA.Q.FGBA1,"EMEA (Europe, Middle East and Africa), Real $ GDP, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 4 out of 120"
PSHGC@OECD.Q.FGBA1,"OECD: Organization for Economic Cooperation and Development, Nominal share of GDP: Government Consumption, Unit - Percentage, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 7 out of 32"
CPI$%@AP.Q.FGI,"Asia-Pacific, Consumer Price Index, Dollar Basis, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 18 out of 40"
PGDD$@AP.Q.FGBA1,"Asia-Pacific, Deflator: Gross Domestic Demand (Absorption), US$, Unit - Index - 2015, Data edge: 2019Q2, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 1 out of 40"
JRX@LC.Q.FGI,"Latin America and Caribbean, Exchange Rate Index, Period Average (LCU per US$), Unit - Index - 2015, Data edge: 2019Q1, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 12 out of 41"
PX%Q@MENMR.Q.FGI,"Middle East and North Africa: Medium Risk, NIA Exports Deflator, Quarter-on-Quarter, SAAR, Percent Change, Unit - Percent change on previous period, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 3 out of 4"
BPXG$@WORXC.Q.FGI,"World Excluding China, BOP Goods Exports, US$, Billions - U.S. Dollar, Data edge: 2017Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 63 out of 203"
PX%@ADVXU.Q.FGBA1,"Advanced Economies Excluding USA (ADVXU), NIA Exports Deflator, Year-on-Year Percent Change, Unit - Percent change year ago, Data edge: 2019Q1, Data source: IHS Markit, Updated quarterly: last update 26 August 2019 Countries in aggregate: 6 out of 31"
XR$%@WORXC.Q.FGI,"World Excluding China, Real $ NIA Exports of Goods & Non-Factor Services, Growth Rate, Year-on-Year, Unit - Percent change year ago, Data edge: 2015Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 101 out of 203"
GDPPR$@EUN.Q.FGI,"EU: European Union, Real Gross Domestic Product, PPP$, Billions - U.S. Dollar - 2015, Data edge: 2018Q4, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 28"
BPCA$@LAXB.Q.FGI,"Latin America Excluding Brazil, BOP Current Account Balance, US$, Billions - U.S. Dollar, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 4 out of 18"
M2%@GCC.Q.FGI,"Gulf Cooperation Council Countries, Growth Rate, Money Supply M2, Period End, Year-on-Year Percent Change, lcu, Unit - Percent change year ago, Data edge: 2019Q2, Data source: IHS Markit, Updated monthly: last update 15 November 2019 Countries in aggregate: 6 out of 6"
PSHCGSAV@NAFXM.Q.FGI,"NAFTA Excluding Mexico, Fiscal Balance: Overall, % of GDP, central government, Unit - Percentage, Data edge: NA, Data source: IHS Markit, Updated monthly: last update 18 November 2019 Countries in aggregate: 1 out of 2"
